epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5995,1.40797,2.72949,1.34676,0.87019,0.12538,0.35297,0.20395,1.26554,2.90489,1.16153,0.000467673,0.000467673,0.000467673
2,19.0214,1.39744,1.80044,1.35773,0.62951,0.54657,0.59886,0.38437,1.22824,1.93517,1.14335,0.000920642,0.000920642,0.000920642
3,26.9001,1.36935,1.67512,1.33681,0.34627,0.50257,0.39602,0.23396,1.29863,2.11518,1.26925,0.00135003,0.00135003,0.00135003
4,34.7781,1.38053,1.66392,1.35383,0.51176,0.59164,0.55486,0.34662,1.29703,2.32671,1.30243,0.0013229,0.0013229,0.0013229
5,42.7072,1.36311,1.5247,1.33754,0.5449,0.59149,0.60066,0.38571,1.23782,1.49338,1.20952,0.00128753,0.00128753,0.00128753
6,50.5471,1.31812,1.4386,1.31714,0.47874,0.64184,0.5598,0.37567,1.14425,1.75856,1.1529,0.00125216,0.00125216,0.00125216
7,58.5041,1.28855,1.34194,1.29093,0.66023,0.6864,0.70136,0.4975,1.05896,1.29684,1.10054,0.00121679,0.00121679,0.00121679
8,66.4344,1.26658,1.27355,1.28035,0.62916,0.66567,0.66701,0.46721,1.05654,1.25381,1.10704,0.00118143,0.00118143,0.00118143
9,74.3904,1.25528,1.24677,1.27065,0.72836,0.61211,0.71379,0.50023,1.10503,1.23441,1.12422,0.00114606,0.00114606,0.00114606
10,82.2244,1.23607,1.20134,1.2571,0.72249,0.64829,0.7224,0.50643,1.07297,1.34736,1.10129,0.00111069,0.00111069,0.00111069
11,90.0944,1.20103,1.13401,1.2351,0.69912,0.64612,0.70248,0.48593,1.11592,1.23008,1.11746,0.00107532,0.00107532,0.00107532
12,98.0034,1.18714,1.1168,1.2414,0.72612,0.73647,0.76453,0.55487,1.02843,1.07439,1.07299,0.00103995,0.00103995,0.00103995
13,106.054,1.18682,1.08977,1.23666,0.6135,0.67443,0.64501,0.45809,1.02409,1.30478,1.06225,0.00100459,0.00100459,0.00100459
14,113.994,1.15703,1.05836,1.2215,0.72152,0.7085,0.75536,0.54831,0.97744,1.11852,1.05702,0.000969219,0.000969219,0.000969219
15,121.967,1.14541,1.02194,1.21163,0.72787,0.64042,0.66585,0.46689,1.00886,1.36265,1.04864,0.000933851,0.000933851,0.000933851
16,129.889,1.13024,0.9952,1.21479,0.73344,0.74576,0.78496,0.58143,0.96536,1.05417,1.04215,0.000898484,0.000898484,0.000898484
17,137.827,1.12128,0.9794,1.18713,0.70065,0.75524,0.76497,0.56914,0.97274,1.05687,1.04571,0.000863116,0.000863116,0.000863116
18,145.748,1.07025,0.93978,1.17528,0.74328,0.71963,0.748,0.54258,1.02652,1.09691,1.06439,0.000827748,0.000827748,0.000827748
19,153.637,1.074,0.93413,1.17748,0.70375,0.75941,0.77332,0.57099,0.9659,1.10251,1.0379,0.00079238,0.00079238,0.00079238
20,161.525,1.0656,0.90614,1.17125,0.76563,0.68744,0.77177,0.57673,0.94804,1.03465,1.0438,0.000757013,0.000757013,0.000757013
21,169.418,1.05834,0.8737,1.15148,0.76891,0.73801,0.77439,0.5724,0.98135,0.98022,1.04554,0.000721645,0.000721645,0.000721645
22,177.408,1.03839,0.8659,1.14529,0.74996,0.69272,0.74905,0.57297,0.94924,1.14806,1.03915,0.000686277,0.000686277,0.000686277
23,185.32,1.0394,0.8529,1.15349,0.76663,0.72318,0.78102,0.58468,0.93833,1.02211,1.02262,0.000650909,0.000650909,0.000650909
24,193.198,1.01669,0.81779,1.13861,0.7405,0.76162,0.78924,0.58865,0.92919,1.0128,1.01646,0.000615542,0.000615542,0.000615542
25,201.093,1.01335,0.81033,1.13093,0.70799,0.78875,0.79477,0.57794,1.00314,1.02478,1.0475,0.000580174,0.000580174,0.000580174
26,209.077,0.99312,0.79437,1.12412,0.76153,0.75224,0.79069,0.59422,0.93943,0.99535,1.03013,0.000544806,0.000544806,0.000544806
27,216.897,0.99069,0.77498,1.12375,0.73395,0.78822,0.79295,0.60661,0.91013,0.98433,1.02058,0.000509438,0.000509438,0.000509438
28,224.812,0.96987,0.75849,1.1105,0.81288,0.69997,0.78288,0.60056,0.91763,1.12531,1.03469,0.000474071,0.000474071,0.000474071
29,232.916,0.96819,0.74976,1.10726,0.75422,0.72558,0.77276,0.58304,0.92314,1.0424,1.03134,0.000438703,0.000438703,0.000438703
30,240.78,0.94011,0.7262,1.09905,0.75485,0.7697,0.80116,0.61189,0.91595,0.95163,1.01377,0.000403335,0.000403335,0.000403335
31,268.778,0.9049,0.63005,1.06057,0.79062,0.72441,0.78662,0.5973,0.91796,1.07525,1.02024,0.000367967,0.000367967,0.000367967
32,276.625,0.85954,0.57615,1.03614,0.79579,0.74607,0.78481,0.59324,0.91693,0.99958,1.01547,0.0003326,0.0003326,0.0003326
33,284.585,0.84454,0.5629,1.03429,0.76583,0.72924,0.78172,0.59504,0.9279,1.14331,1.02006,0.000297232,0.000297232,0.000297232
34,292.381,0.8485,0.55334,1.03417,0.77151,0.71632,0.78528,0.60729,0.89119,1.05229,1.00785,0.000261864,0.000261864,0.000261864
35,300.192,0.83888,0.53829,1.02869,0.7594,0.75645,0.79609,0.60689,0.90524,1.00161,1.00509,0.000226497,0.000226497,0.000226497
36,308.033,0.80187,0.50575,1.00556,0.80903,0.71929,0.79587,0.60983,0.8988,1.00668,1.0015,0.000191129,0.000191129,0.000191129
37,315.882,0.79711,0.49866,1.00689,0.75739,0.73171,0.78496,0.60153,0.89924,1.10772,1.01139,0.000155761,0.000155761,0.000155761
38,323.726,0.78571,0.49315,0.9977,0.7172,0.75806,0.77999,0.60879,0.89022,1.05784,1.00586,0.000120393,0.000120393,0.000120393
39,331.528,0.77264,0.47739,0.99146,0.74587,0.76984,0.79049,0.61229,0.89636,1.02485,1.01428,8.50255e-05,8.50255e-05,8.50255e-05
40,339.259,0.76768,0.46788,0.99383,0.71685,0.78002,0.78313,0.6057,0.89611,1.06145,1.00812,4.96578e-05,4.96578e-05,4.96578e-05
