epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78209,0.98522,2.64902,1.31197,0.55859,0.85,0.87771,0.63475,1.65648,1.07053,1.37986,0,0,0
2,3.01979,1.03579,3.26288,1.38102,0.55586,0.85,0.88554,0.63519,1.66785,1.06803,1.38508,7.973e-07,7.973e-07,7.973e-07
3,3.8313,1.37742,2.78694,1.77594,0.55092,0.85,0.84963,0.61708,1.68783,1.07695,1.39157,8.092e-07,8.092e-07,8.092e-07
